#hex_code;adjectif1;adjectif2;adjectif3
#8B0000;chaud;foncé;mat
#FF4500;chaud;foncé;lumineux
#FFD700;chaud;clair;lumineux
#D2691E;chaud;clair;mat
#DC143C;froid;foncé;lumineux
#800080;froid;foncé;mat
#ADD8E6;froid;clair;lumineux
#708090;froid;clair;mat
#FF69B4;chaud;clair;lumineux
#A52A2A;chaud;foncé;mat
#00CED1;froid;clair;lumineux
#2F4F4F;froid;foncé;mat
#FFE4B5;chaud;clair;mat
#6495ED;froid;clair;lumineux
#B22222;chaud;foncé;lumineux
